Country of birth(c),1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Cyprus,"23,310","23,300","23,200","23,030","22,810","22,720","22,680","22,620","22,560","22,450","22,350","22,050","21,810","21,580","21,350","21,150","20,910","20,660","20,410","20,100","19,690","19,400","19,070","18,730","18,460","18,070","17,680","17,340","16,970"
North Macedonia,"49,660","49,720","49,690","49,750","49,560","49,740","50,210","50,700","51,040","51,320","51,650","51,620","51,650","51,570","51,470","51,140","50,910","50,640","50,370","49,990","49,680","50,260","50,830","51,320","51,090","51,160","50,430","50,030","49,410"
Greece,"138,080","136,820","135,030","132,900","130,780","128,700","128,870","129,040","129,020","129,010","128,980","127,510","125,770","124,170","122,520","121,180","120,480","119,840","118,270","115,820","113,420","111,360","108,780","105,930","103,280","99,950","96,220","93,070","90,100"
Moldova,430,490,530,550,570,620,650,690,770,810,870,890,920,960,"1,000","1,040","1,070","1,110","1,130","1,160","1,160","1,210","1,250","1,310","1,370","1,380","1,400","1,490","1,530"
Romania,"13,130","13,720","13,800","14,020","14,180","14,380","14,670","15,040","15,350","15,680","16,110","16,300","16,390","16,530","16,650","16,720","16,890","17,030","17,080","17,070","16,970","16,960","16,900","16,840","16,820","16,550","16,250","16,210","16,160"
Slovenia,"9,460","9,250","9,050","8,860","8,640","8,440","8,590","8,680","8,740","8,760","8,860","8,750","8,670","8,530","8,380","8,260","8,210","8,190","8,140","8,060","8,000","7,720","7,360","7,010","6,650","6,240","5,990","5,740","5,510"
Montenegro,"5,170","5,200","5,160","5,300","5,330","5,330","5,120","4,840","4,450","4,020","1,850","1,900","1,890","1,900","1,880","1,850","1,890","1,940","1,980","2,030","2,070","2,010","1,960","1,920","1,880","1,830","1,790","1,770","1,720"
Serbia,"50,500","50,790","50,450","51,800","52,060","52,050","50,020","47,320","43,450","39,290","35,920","35,700","35,550","35,380","35,170","34,850","34,600","34,390","34,150","33,820","33,380","33,060","32,700","32,250","31,850","31,200","30,450","29,890","29,390"
Kosovo,0,0,0,0,0,0,0,0,0,0,0,0,0,350,"1,120","1,390","1,410","1,430","1,430","1,440","1,470","1,550","1,620","1,680","1,760","1,800","1,790","1,790","1,800"
Belarus,"1,270","1,300","1,310","1,350","1,360","1,360","1,430","1,490","1,520","1,600","1,720","1,750","1,760","1,810","1,840","1,870","1,940","2,010","2,110","2,180","2,230","2,290","2,350","2,400","2,500","2,500","2,520","2,600","2,610"
Czechia,"13,690","13,470","13,290","13,170","13,110","13,070","13,260","13,470","13,590","13,700","13,920","13,960","13,840","13,660","13,620","13,450","13,330","13,370","13,330","13,240","13,110","12,890","12,510","12,120","11,810","11,310","11,010","10,980","10,840"
Estonia,"2,450","2,310","2,180","2,070","1,970","1,860","1,830","1,770","1,720","1,660","1,600","1,640","1,700","2,000","2,240","2,430","2,710","3,170","3,440","3,440","3,450","3,600","3,740","3,700","3,610","3,250","3,170","3,700","3,960"
Hungary,"27,750","27,410","26,950","26,520","26,130","25,640","25,310","24,950","24,630","24,340","24,040","23,730","23,440","23,180","22,850","22,420","22,180","21,990","21,560","21,120","20,790","20,390","19,810","19,210","18,730","18,060","17,510","17,140","16,750"
Latvia,"9,180","8,730","8,210","7,760","7,370","6,990","6,830","6,650","6,470","6,310","6,120","6,000","5,780","5,680","5,590","5,470","5,390","5,290","5,150","4,990","4,840","4,650","4,380","4,200","4,010","3,750","3,600","3,470","3,380"
Lithuania,"4,700","4,430","4,200","4,000","3,850","3,630","3,550","3,470","3,380","3,300","3,210","3,150","3,110","3,070","3,090","3,130","3,190","3,270","3,320","3,370","3,440","3,500","3,520","3,480","3,370","3,130","3,120","3,260","3,280"
Poland,"72,420","71,360","69,910","68,430","66,880","65,530","64,860","64,280","63,740","63,280","62,900","61,870","60,740","59,840","58,940","57,900","57,010","56,270","55,360","54,530","53,670","53,200","52,460","51,610","50,990","49,690","48,590","48,200","47,680"
Russia,"17,190","17,640","17,200","17,080","16,800","16,710","17,220","17,600","17,730","18,110","18,540","18,890","19,450","20,120","20,780","21,500","22,590","23,900","24,880","25,760","26,490","27,180","27,720","28,160","28,850","28,500","29,070","30,830","31,620"
Slovakia,"5,840","6,000","6,090","6,230","6,360","6,430","6,300","6,200","6,150","6,060","5,970","6,000","6,000","6,000","5,990","6,020","6,180","6,400","6,560","6,720","6,790","6,930","6,980","7,000","7,020","6,950","6,840","6,910","6,860"
Ukraine,"17,560","18,350","18,100","17,530","17,040","16,660","16,580","16,530","16,620","16,800","17,010","16,800","16,640","16,440","16,360","16,280","16,480","16,660","16,850","17,090","17,180","17,230","17,230","17,240","17,200","16,850","20,070","21,240","21,360"
Algeria,870,940,"1,000","1,090","1,170","1,240","1,270","1,310","1,330","1,330","1,330","1,340","1,360","1,370","1,380","1,400","1,440","1,520","1,580","1,600","1,640","1,640","1,650","1,670","1,700","1,660","1,630","1,680","1,740"
Egypt,"38,610","38,570","38,150","37,890","37,600","37,420","37,450","37,760","38,130","38,740","39,370","40,110","40,930","41,420","41,830","42,080","42,600","43,690","44,290","44,680","45,220","45,790","46,360","46,990","47,520","47,110","47,170","47,850","48,480"
Libya,"1,290","1,350","1,380","1,400","1,400","1,460","1,480","1,510","1,550","1,570","1,620","1,660","1,770","1,980","2,370","2,900","2,990","2,940","2,760","2,790","2,870","2,860","2,870","2,880","2,890","2,860","2,800","2,810","2,810"
Morocco,"1,230","1,290","1,320","1,350","1,380","1,360","1,400","1,460","1,510","1,560","1,620","1,670","1,700","1,750","1,800","1,870","1,900","2,000","2,070","2,170","2,240","2,330","2,410","2,500","2,630","2,630","2,670","2,780","2,930"
Sudan,"2,570","3,050","3,310","3,750","4,090","5,090","6,220","9,410","13,460","18,590","20,870","23,230","24,130","24,890","25,440","22,000","21,450","20,960","20,330","19,730","19,140","19,170","19,150","18,940","18,620","18,250","18,280","18,700","18,860"
Tunisia,490,480,490,500,500,490,510,540,540,540,550,560,570,570,570,580,590,610,630,660,680,700,720,740,770,760,770,810,840
Western Sahara,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Sp North Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Sudan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,900","4,680","5,530","6,410","7,480","8,430","8,810","8,980","9,030","9,010","8,980","9,020","9,060","9,090"
Bahrain,670,730,770,790,770,760,830,910,980,"1,080","1,160","1,200","1,230","1,320","1,330","1,440","1,510","1,590","1,660","1,730","1,820","1,910","1,980","2,070","2,150","2,170","2,260","2,370","2,520"
Occ Palestinian T,"3,060","3,000","2,980","3,010","3,060","3,120","3,190","3,210","3,230","3,260","3,260","3,210","3,180","3,110","3,070","3,020","3,070","3,110","3,160","3,190","3,230","3,230","3,240","3,240","3,230","3,220","3,160","3,140","3,120"
Iran,"19,260","19,920","20,440","20,650","21,360","22,250","23,100","24,310","25,370","26,720","28,110","30,210","31,790","34,020","36,480","39,640","45,490","52,510","57,080","61,690","66,150","68,830","71,150","74,230","76,870","77,070","80,330","85,900","91,580"
Iraq,"16,400","20,280","22,420","24,390","26,480","28,480","30,010","33,860","35,500","37,100","39,500","42,070","44,580","49,000","51,830","54,980","57,430","61,390","66,450","70,870","74,680","84,620","88,430","94,610","101,030","101,020","104,170","106,860","109,600"
Israel,"7,110","7,090","7,230","7,330","7,380","7,510","7,750","8,100","8,440","8,950","9,440","9,890","10,300","10,490","10,700","10,840","10,960","11,100","11,190","11,240","11,350","11,720","11,830","11,880","12,280","12,110","11,840","12,060","12,620"
Jordan,"2,980","3,200","3,270","3,400","3,480","3,620","3,730","3,880","4,000","4,160","4,310","4,520","4,820","5,060","5,250","5,440","5,680","6,040","6,260","6,530","6,950","7,470","7,880","8,230","8,610","8,690","8,940","9,280","9,640"
Kuwait,"1,740","1,880","2,050","2,190","2,510","2,630","2,710","2,910","3,040","3,120","3,320","3,470","3,650","3,970","4,320","4,720","5,380","5,840","6,200","6,580","6,920","7,180","7,230","7,310","7,410","7,410","7,740","8,100","8,720"
Lebanon,"77,670","78,300","78,660","78,680","79,070","79,850","80,970","82,760","83,680","84,900","85,940","87,620","88,760","89,270","89,640","90,030","90,850","91,710","92,480","93,290","93,720","94,040","94,360","94,730","95,430","95,110","95,680","96,290","97,500"
Oman,160,230,280,300,340,410,500,610,700,840,"1,040","1,060","1,140","1,180","1,250","1,250","1,260","1,320","1,400","1,560","1,840","2,080","2,150","2,180","1,850","1,740","1,840","2,000","2,250"
Qatar,170,190,200,230,250,270,330,360,410,440,500,520,570,610,660,690,790,890,"1,000","1,100","1,260","1,400","1,630","1,850","2,020","2,070","2,230","2,580","3,040"
Saudi Arabia,"1,110","1,300","1,380","1,440","1,530","1,620","1,890","2,210","2,540","2,960","3,550","4,730","7,970","11,230","12,600","12,640","12,760","12,950","13,890","14,480","14,480","14,190","14,160","15,740","15,320","13,100","13,310","14,680","16,440"
Syria,"6,620","6,800","6,950","7,160","7,320","7,610","7,790","8,010","8,130","8,260","8,440","8,650","8,840","9,130","9,330","9,670","10,110","10,550","11,540","14,170","16,320","24,650","27,960","30,290","31,350","31,630","32,680","34,600","36,610"
Türkiye,"32,100","33,100","33,380","33,750","34,060","34,230","35,030","36,030","36,800","37,460","38,060","38,340","38,670","39,320","39,810","39,980","40,150","40,090","39,930","39,710","39,920","40,650","41,190","41,840","42,550","42,150","42,140","44,450","46,150"
Unit Arab Emir,970,"1,060","1,150","1,270","1,390","1,540","1,780","2,140","2,420","2,800","3,320","3,750","4,280","4,810","5,240","5,570","6,180","6,750","7,290","8,090","9,170","10,350","11,600","12,840","13,660","14,160","15,110","16,510","18,250"
Yemen,290,330,350,380,390,400,420,470,520,520,520,530,550,590,590,610,630,650,680,710,770,830,900,980,"1,020","1,020","1,080","1,200","1,390"
Myanmar,"11,560","12,130","12,090","12,100","12,100","12,190","12,490","12,700","12,820","13,330","14,320","16,220","18,670","21,170","23,260","24,430","26,420","28,660","30,300","32,160","34,070","35,680","37,270","39,770","41,530","41,520","42,820","44,820","46,790"
Cambodia,"24,080","25,120","25,280","25,210","24,970","25,100","25,660","26,430","26,940","27,610","28,350","29,100","29,750","30,600","31,720","32,510","33,000","33,320","33,900","34,420","35,100","36,580","38,350","40,030","41,500","41,430","42,670","44,280","45,880"
Laos,"11,020","10,880","10,730","10,590","10,450","10,350","10,390","10,420","10,470","10,600","10,670","10,790","10,890","11,010","11,110","11,300","11,280","11,170","11,110","11,030","10,950","11,140","11,340","11,530","11,770","11,630","11,750","12,240","12,610"
Thailand,"19,890","20,550","21,250","22,120","23,040","24,430","26,390","28,250","29,700","31,550","34,060","38,310","43,200","48,470","51,570","52,990","54,480","57,410","61,760","66,400","71,250","77,640","81,560","86,070","89,060","88,860","95,940","109,960","114,280"
Vietnam,"158,740","161,910","163,020","163,800","163,700","163,490","166,120","169,720","171,980","174,440","178,010","182,720","189,480","197,820","203,770","207,620","212,140","219,940","228,530","235,590","243,220","251,940","259,720","268,070","275,920","274,840","281,970","299,520","318,760"
Brunei,"1,900","2,060","2,060","2,080","2,100","2,150","2,240","2,360","2,470","2,570","2,630","2,760","2,950","3,020","3,040","3,020","2,960","2,940","2,870","2,890","2,950","3,070","3,130","3,150","3,170","3,150","3,310","3,430","3,560"
Indonesia,"49,020","51,420","53,110","55,810","58,650","53,090","57,410","59,620","60,260","60,250","60,530","61,940","65,070","68,570","71,170","73,060","74,340","75,030","75,400","77,000","78,970","83,140","86,870","91,030","94,930","92,720","96,820","109,490","120,160"
Malaysia,"82,530","83,240","83,440","83,840","84,650","86,400","89,190","93,070","97,600","101,390","105,710","111,470","118,440","124,790","129,880","134,140","136,570","138,370","139,390","143,420","152,900","165,020","174,470","177,510","178,760","173,990","176,250","180,590","183,490"
Philippines,"104,820","106,450","107,620","110,190","112,180","114,260","118,360","123,300","128,610","134,580","141,890","151,190","163,040","175,020","183,770","193,030","206,110","218,870","230,190","241,130","252,690","265,300","276,890","294,160","308,380","308,240","320,360","362,890","394,380"
Singapore,"31,260","33,250","33,440","33,560","34,240","35,670","36,940","38,560","40,150","43,070","45,810","47,830","49,510","51,600","53,550","55,820","57,680","59,040","59,220","59,480","59,120","62,290","63,900","65,290","64,820","64,940","67,380","68,620","70,700"
Timor-Leste,0,0,0,0,0,"10,420","10,490","10,570","10,620","10,710","10,830","10,710","10,640","10,630","10,580","10,540","10,450","10,290","10,180","10,000","9,780","9,660","9,510","9,430","10,500","10,410","10,980","12,710","14,060"
China,"118,640","128,820","132,080","138,230","144,690","153,360","169,990","187,450","205,200","227,600","251,960","278,320","313,030","344,980","371,550","387,420","406,390","432,400","466,510","508,870","557,690","604,180","645,120","661,460","638,990","584,660","597,310","654,720","700,120"
Hong Kong,"75,960","77,980","77,920","76,970","75,420","73,920","75,490","77,310","78,320","79,850","81,360","82,310","83,310","84,430","85,460","85,990","87,300","89,830","92,560","95,050","97,590","99,180","100,040","101,460","104,060","104,400","112,540","120,090","124,550"
Macau,"1,970","2,050","2,060","2,100","2,050","1,960","2,000","2,060","2,070","2,100","2,090","2,210","2,350","2,480","2,560","2,610","2,610","2,630","2,650","2,780","2,930","3,030","3,040","3,100","2,990","2,800","3,010","3,160","3,250"
Mongolia,150,120,120,110,120,130,150,180,210,240,300,320,410,610,700,780,860,960,"1,240","1,780","2,560","3,560","4,740","6,240","6,610","5,770","6,260","12,500","15,290"
Taiwan,"19,380","21,540","21,800","22,150","22,410","24,140","25,590","26,210","26,030","25,860","25,860","26,690","28,280","30,160","31,360","33,450","38,560","46,620","50,650","51,880","54,040","56,300","59,050","59,060","55,210","51,910","54,380","62,760","68,400"
Japan,"25,280","24,690","24,800","25,010","25,300","25,690","27,380","29,190","31,050","33,110","35,390","37,830","39,020","39,850","40,250","41,390","43,220","44,780","46,270","47,560","49,040","50,430","50,400","50,410","48,770","47,500","49,500","55,130","59,710"
"Korea, North",260,290,320,350,380,410,430,430,440,430,430,360,260,240,230,230,190,170,180,220,240,240,220,180,140,100,60,40,50
